site,monitor,date,start_hour,value,variable,units,quality,prelim,name 
3490,-,2022-06-11,15,2.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-11,16,0.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-11,17,1.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-11,18,1.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-11,19,0.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-11,20,1.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-11,21,5.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-11,22,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-11,23,0.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,0,1.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,1,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,2,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,3,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,4,2.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,5,2.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,6,2.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,7,4.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,8,4.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,9,0.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,10,1.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,11,7.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,12,4.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,13,2.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,14,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,15,2.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,16,1.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,17,1.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,18,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,19,6.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,20,4.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,21,3.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,22,6.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-12,23,6.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-13,0,6.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-13,1,6.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-13,2,8.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
3490,-,2022-06-13,3,5.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Livermore-793 Rincon Avenue 
