,site,value,variable,quality,dateC
295,3154,12.1,PMTEOM,0.0,2020-01-13 07:00:00
296,3154,9.8,PMTEOM,0.0,2020-01-13 08:00:00
297,3154,8.3,PMTEOM,0.0,2020-01-13 09:00:00
298,3154,9.2,PMTEOM,0.0,2020-01-13 10:00:00
299,3154,9.2,PMTEOM,0.0,2020-01-13 11:00:00
300,3154,8.7,PMTEOM,0.0,2020-01-13 12:00:00
301,3154,7.8,PMTEOM,0.0,2020-01-13 13:00:00
302,3154,8.4,PMTEOM,0.0,2020-01-13 14:00:00
303,3154,11.2,PMTEOM,0.0,2020-01-13 15:00:00
304,3154,9.1,PMTEOM,0.0,2020-01-13 16:00:00
305,3154,7.5,PMTEOM,0.0,2020-01-13 17:00:00
306,3154,6.7,PMTEOM,0.0,2020-01-13 18:00:00
307,3154,6.4,PMTEOM,0.0,2020-01-13 19:00:00
308,3154,7.8,PMTEOM,0.0,2020-01-13 20:00:00
309,3154,7.0,PMTEOM,0.0,2020-01-13 21:00:00
310,3154,7.1,PMTEOM,0.0,2020-01-13 22:00:00
311,3154,5.7,PMTEOM,0.0,2020-01-13 23:00:00
312,3154,8.0,PMTEOM,0.0,2020-01-14 00:00:00
313,3154,7.5,PMTEOM,0.0,2020-01-14 01:00:00
314,3154,6.0,PMTEOM,0.0,2020-01-14 02:00:00
315,3154,4.9,PMTEOM,0.0,2020-01-14 03:00:00
316,3154,5.5,PMTEOM,0.0,2020-01-14 04:00:00
317,3154,5.7,PMTEOM,0.0,2020-01-14 05:00:00
318,3154,8.9,PMTEOM,0.0,2020-01-14 06:00:00
319,3154,8.1,PMTEOM,0.0,2020-01-14 07:00:00
320,3154,9.9,PMTEOM,0.0,2020-01-14 08:00:00
321,3154,8.1,PMTEOM,0.0,2020-01-14 09:00:00
322,3154,11.1,PMTEOM,0.0,2020-01-14 10:00:00
323,3154,34.9,PMTEOM,0.0,2020-01-14 11:00:00
324,3154,12.7,PMTEOM,0.0,2020-01-14 12:00:00
325,3154,12.2,PMTEOM,0.0,2020-01-14 13:00:00
326,3154,62.2,PMTEOM,0.0,2020-01-14 14:00:00
327,3154,29.4,PMTEOM,0.0,2020-01-14 15:00:00
328,3154,13.2,PMTEOM,0.0,2020-01-14 16:00:00
329,3154,14.4,PMTEOM,0.0,2020-01-14 17:00:00
330,3154,15.1,PMTEOM,0.0,2020-01-14 18:00:00
331,3154,11.1,PMTEOM,0.0,2020-01-14 19:00:00
332,3154,9.6,PMTEOM,0.0,2020-01-14 20:00:00
333,3154,6.0,PMTEOM,0.0,2020-01-14 21:00:00
334,3154,10.1,PMTEOM,0.0,2020-01-14 22:00:00
335,3154,11.1,PMTEOM,0.0,2020-01-14 23:00:00
336,3154,10.0,PMTEOM,0.0,2020-01-15 00:00:00
337,3154,9.1,PMTEOM,0.0,2020-01-15 01:00:00
338,3154,10.3,PMTEOM,0.0,2020-01-15 02:00:00
339,3154,9.5,PMTEOM,0.0,2020-01-15 03:00:00
340,3154,9.8,PMTEOM,0.0,2020-01-15 04:00:00
341,3154,9.6,PMTEOM,0.0,2020-01-15 05:00:00
342,3154,23.5,PMTEOM,0.0,2020-01-15 06:00:00
343,3154,23.1,PMTEOM,0.0,2020-01-15 07:00:00
344,3154,19.2,PMTEOM,0.0,2020-01-15 08:00:00
345,3154,12.0,PMTEOM,0.0,2020-01-15 09:00:00
346,3154,7.9,PMTEOM,0.0,2020-01-15 10:00:00
347,3154,9.6,PMTEOM,0.0,2020-01-15 11:00:00
348,3154,9.9,PMTEOM,0.0,2020-01-15 12:00:00
349,3154,9.5,PMTEOM,0.0,2020-01-15 13:00:00
350,3154,10.2,PMTEOM,0.0,2020-01-15 14:00:00
351,3154,9.1,PMTEOM,0.0,2020-01-15 15:00:00
352,3154,9.4,PMTEOM,0.0,2020-01-15 16:00:00
353,3154,8.8,PMTEOM,0.0,2020-01-15 17:00:00
354,3154,8.0,PMTEOM,0.0,2020-01-15 18:00:00
355,3154,7.7,PMTEOM,0.0,2020-01-15 19:00:00
356,3154,7.0,PMTEOM,0.0,2020-01-15 20:00:00
357,3154,6.8,PMTEOM,0.0,2020-01-15 21:00:00
358,3154,6.8,PMTEOM,0.0,2020-01-15 22:00:00
359,3154,6.7,PMTEOM,0.0,2020-01-15 23:00:00
360,3154,7.1,PMTEOM,0.0,2020-01-16 00:00:00
361,3154,5.4,PMTEOM,0.0,2020-01-16 01:00:00
362,3154,6.4,PMTEOM,0.0,2020-01-16 02:00:00
363,3154,9.3,PMTEOM,0.0,2020-01-16 03:00:00
